Sl. No.,Name of the Road,Specific location,Date,Frequency,latitude,longitude
144.0,Ring Road,Near WHO Building,"['21.08.2021', '11.09.2021']",2,28.6086166,77.1403328
145.0,Ring Road,"Sector-13, R.K. Puram near Satya Niketan",['13.07.2021'],1,28.6086166,77.1403328
146.0,Ring Road,Towards Khybar Pass road,"['30.07.2021', '01.08.2021']",2,28.6086166,77.1403328
147.0,Ring Road,Towards Timarpur,['14.07.2021'],1,28.6086166,77.1403328
148.0,Ring Road,Under Britannia Flyover,['11.09.2021'],1,28.6086166,77.1403328
149.0,Ring Road,Under Dhaula Kuan flyover towards Naraina,['19.05.2021'],1,28.6086166,77.1403328
150.0,Ring Road,Under Kodia Pul,['02.09.2021'],1,28.6086166,77.1403328
151.0,"Road No. 201, Dwarka",Near Rajapuri Bus stand,['13.07.2021'],1,28.571524,77.0753579
152.0,"Road No. 226, Dwarka",Sector-20 near Marble Market,['11.09.2021'],1,28.565182,77.0597236
153.0,Road No. 57,Bihari Colony Railway underpass,"['01.08.2021', '11.09.2021']",2,28.6711259,77.2827076
154.0,Rohtak Road,Anand Parbat Redlight,"['08.08.2021', '03.09.2021']",2,28.6624722,77.1853223
155.0,Rohtak Road,"Metro Pillar No. 505, Mundka",['27.07.2021'],1,28.6624722,77.1853223
156.0,Rohtak Road,Nangloi towards Mundka carriageway,['01.08.2021'],1,28.6624722,77.1853223
157.0,Rohtak Road,Near Mundka Metro Station,"['29.07.2021', '21.08.2021']",2,28.6624722,77.1853223
158.0,Rohtak Road,Near Mundka Village,['11.09.2021'],1,28.6624722,77.1853223
159.0,Rohtak Road,Near Nangloi Metro Station,['01.09.2021'],1,28.6624722,77.1853223
160.0,Rohtak Road,Near Peeragarhi Chowk,['13.07.2021'],1,28.6624722,77.1853223
161.0,Rohtak Road,Near pillar no 450 Mundka,['14.07.2021'],1,28.6624722,77.1853223
162.0,Rohtak Road,Near Rajdhani Park Metro Station both carriageways,"['19.05.2021', '13.07.2021', '19.07.2021', '28.07.2021', '08.08.2021', '31.08.2021', '11.09.2021']",7,28.6624722,77.1853223
163.0,Rohtak Road,Tikri Border,"['19.07.2021', '01.08.2021']",2,28.6624722,77.1853223
164.0,Rohtak Road,Zakhira Railway Track,['31.08.2021'],1,28.6624722,77.1853223
165.0,Rohtak Road,Zakhira towards Anand Parbat,['28.07.2021'],1,28.6624722,77.1853223
166.0,Sansad Marg,Near roundabout Patel Chowk,['01.09.2021'],1,28.6226287,77.2120909
167.0,Sardar Patel Marg,Dhaula Kuan Flyover both carriageway,['11.09.2021'],1,28.6080564,77.1891874
168.0,Sardar Patel Marg,Near 11 Murti towards RML Hospital,['31.08.2021'],1,28.6080564,77.1891874
169.0,Satguru Ram Singh Marg,Lajwanti Chowk,['01.09.2021'],1,28.6188228,77.1131431
170.0,Shahjahan Road,--,['31.08.2021'],1,28.6071138,77.2268949
171.0,Shankar Road,Near Roundabout Pusa,['31.08.2021'],1,28.6246723,77.1989555
172.0,Sher Shah Road,Near Mathura Road Redlight,['27.07.2021'],1,28.609335,77.2396558
173.0,Shyama Prasad Mukherjee Marg,Exit gate of Old Delhi Railway Station,['02.09.2021'],1,28.660932,77.2276494
174.0,Shyama Prasad Mukherjee Marg,Near Chhata Rail,"['14.07.2021', '21.08.2021', '31.08.2021']",3,28.7042808,77.1920304
175.0,South Avenue Road,Both side South Avenue Road,['01.09.2021'],1,28.6079813,77.1990576
176.0,SSN Marg,Near DLF,"['02.09.2021', '11.09.2021']",2,28.5435507,77.1567713
177.0,SSN Marg,Near Nanda Hospital,['02.09.2021'],1,28.4638104,77.1862889
178.0,SSN Marg,Near Qutub Minar Metro Station,"['08.08.2021', '21.08.2021', '01.09.2021', '02.09.2021', '11.09.2021', '13.09.2021']",6,28.4638104,77.1862889
179.0,Sunheri Bagh Road,Sunheri Maszid,['27.07.2021'],1,28.6074306,77.2121723
180.0,Tamil Sangam Marg,Nera Amar Shahid Genu T-Point,['13.07.2021'],1,28.5674885,77.1752648
181.0,Thimayya Marg,Near Redlight Thimayya Marg towards Airport,['11.09.2021'],1,28.5994886,77.1333247
182.0,Tilak Marg,A-Point,['02.09.2021'],1,28.6223066,77.2394313
183.0,Tilak Marg,C-Hexagon Tilak Marg,['29.07.2021'],1,28.6223066,77.2394313
184.0,Tilak Marg,Under Tilak Bridge,['11.09.2021'],1,28.6223066,77.2394313
185.0,Tilak Marg,W-Point,['13.07.2021'],1,28.6223066,77.2394313
186.0,Tyag Raj Marg,--,['31.08.2021'],1,28.6138954,77.2090057
187.0,Vandemataram Marg,Near roundabout Bagga Link,['08.08.2021'],1,28.7225268,77.1020297
188.0,Vandemataram Marg,Roundabout Shankar Road,['08.08.2021'],1,18.6552904,73.769824
189.0,Veer Banda Bairagi Marg,Azad Market underpass,"['14.07.2021', '08.08.2021', '21.08.2021', '01.09.2021', '11.09.2021']",5,28.6083913,77.0447941
190.0,Vikas Marg,Infront of WHO Building,"['29.07.2021', '01.08.2021']",2,28.6311014,77.2785104
191.0,Wazirabad Road,Bhajanpura main market towards Wazirabad,['28.07.2021'],1,28.7110765,77.227034
192.0,Wazirabad Road,Main Market Khajuri,['21.08.2021'],1,28.7110765,77.227034
193.0,Wazirabad Road,Near Bhajanpura Bus Stand,['29.07.2021'],1,28.7110765,77.227034
194.0,Wazirabad Road,near Bhajanpura Mazar,"['14.07.2021 19.07.2021', '28.07.2021']",3,28.7110765,77.227034
195.0,Wazirabad Road,Near Khajuri towards Brijpuri,['11.09.2021'],1,28.7110765,77.227034
196.0,Wazirabad Road,Yamuna Vihar towards Khajuri Khas both  carriageway,['01.08.2021'],1,28.7110765,77.227034
197.0,DAVP Marg,CISF Cut,['21.08.2021'],1,28.6277225,77.2220165
198.0,Lala Lajpat Rai Marg,Jangpura Metro Station,['21.08.2021'],1,28.5529995,77.2453159
199.0,Lala Lajpat Rai Marg,Lajpat Nagar Metro Station,['21.08.2021'],1,28.5529995,77.2453159
200.0,Palam Road,Mehram Nagar Underpass,['21.08.2021'],1,28.577725,77.1037865
